id_soleit;calib
CL02920;5.8861562
CL02921;4.925696869
CL02922;5.377321238
CL02923;4.842216421
CL02924;5.412197324
CL02925;5.709415577
CL02926;5.681159431
CL02927;6.423621448
CL02928;5.899778928
CL02929;4.918500491
CL02930;5
CL02931;6.361983903
CL02932;5.540955896
CL02933;5.784350825
CL02934;5.585295768
CL02935;6.242536961
