PXg_m,PXg_sd,PYg_m,PYg_sd,PZg_m,PZg_sd,HXg_m,HXg_sd,HYg_m,HYg_sd,HZg_m,HZg_sd,KXg_m,KXg_sd,KYg_m,KYg_sd,KZg_m,KZg_sd,AXg_m,AXg_sd,AYg_m,AYg_sd,AZg_m,AZg_sd
10.5584,4.77929,-0.905114,1.31199,-2.10346,2.92907,-3.31886,6.43101,2.42088,1.81345,-4.66356,7.35608,4.88276,4.05579,0.213933,2.57251,-16.3966,8.74481,13.721,2.98307,-4.86041,3.11995,-4.40362,4.303
10.6368,4.79906,-0.871229,1.32702,-2.47722,2.97302,-4.02582,6.48059,2.37295,1.84045,-4.64637,7.36278,5.21241,4.09411,0.139647,2.56639,-16.1509,8.75879,14.2197,3.06999,-4.89338,3.14008,-4.34252,4.32447
10.699,4.81995,-0.853405,1.34483,-2.83381,3.00282,-4.6955,6.52637,2.29348,1.87479,-4.65383,7.36771,5.6673,4.14114,0.0394493,2.56409,-15.8558,8.78074,14.6965,3.16494,-4.92004,3.16191,-4.25047,4.34779
10.7429,4.83991,-0.860736,1.36551,-3.16514,3.01758,-5.32555,6.56648,2.17238,1.91597,-4.68805,7.36676,6.25039,4.20478,-0.0872499,2.5668,-15.524,8.81323,15.1353,3.27207,-4.94312,3.18616,-4.12421,4.37262
10.768,4.85735,-0.901122,1.3893,-3.46412,3.01811,-5.91135,6.60013,2.00028,1.96441,-4.7553,7.35634,6.96401,4.29603,-0.239788,2.57544,-15.1713,8.85817,15.5159,3.39841,-4.96733,3.21332,-3.96224,4.39859
10.7743,4.87134,-0.981146,1.4165,-3.72425,3.00621,-6.44431,6.6277,1.7685,2.02145,-4.8667,7.33407,7.81419,4.42704,-0.417315,2.59036,-14.815,8.91623,15.8119,3.55556,-4.99899,3.24387,-3.76464,4.425
10.7628,4.88167,-1.10536,1.44769,-3.94094,2.98552,-6.91208,6.6514,1.46975,2.08883,-5.03731,7.30124,8.80994,4.61282,-0.618794,2.61123,-14.4728,8.98611,15.9897,3.76252,-5.04567,3.27837,-3.53407,4.45043
10.735,4.88922,-1.27508,1.48283,-4.11157,2.95964,-7.29972,6.67583,1.10013,2.16852,-5.28257,7.26156,9.96222,4.86564,-0.843607,2.63759,-14.16,9.06452,16.0095,4.04569,-5.11432,3.31727,-3.27572,4.47369
10.6918,4.89491,-1.49233,1.52162,-4.23204,2.93136,-7.5834,6.70698,0.653251,2.26145,-5.62103,7.21902,11.2967,5.19593,-1.09328,2.66934,-13.8909,9.14769,15.8075,4.44446,-5.21162,3.3604,-2.99594,4.49276
10.6348,4.90029,-1.75239,1.56362,-4.30459,2.9044,-7.74616,6.75303,0.132869,2.36713,-6.05656,7.17973,12.8256,5.60734,-1.3683,2.70714,-13.6706,9.23235,15.3274,4.99896,-5.33761,3.40656,-2.70559,4.50702
10.5642,4.90634,-2.05129,1.60749,-4.33022,2.87988,-7.76515,6.82255,-0.458496,2.48202,-6.58813,7.14481,14.5727,6.09717,-1.67049,2.75345,-13.4988,9.31684,14.4934,5.73883,-5.48776,3.45308,-2.4171,4.5163
10.4793,4.91363,-2.38285,1.6517,-4.31216,2.85653,-7.62121,6.92252,-1.11367,2.59984,-7.20164,7.11116,16.5568,6.6516,-2.00062,2.81206,-13.3654,9.40294,13.2309,6.65523,-5.65034,3.49713,-2.14612,4.52243
