,,New Patient:LElbAnglesXZY,,,New Patient:LShoAnglesXZY,,,New Patient:LShoAnglesYZY,,,New Patient:LWristAnglesXZY,,,New Patient:RElbAnglesXZY,,,New Patient:RShoAnglesXZY,,,New Patient:RShoAnglesYZY,,
Frame,Sub Frame,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,RSHOX,RSHOY,RSHOZ,X,Y,Z
43,0,29.5224,2.90E-10,-153.381,-12.3166,3.04749,28.9603,-75.9864,12.6824,105.276,-23.3345,-0.832429,1.06625,23.1818,-2.66E-10,147.598,-15.4285,8.19638,-12.6115,-61.5679,17.4237,50.0685
44,0,29.5312,2.90E-10,-153.369,-12.2486,2.96996,28.991,-76.2581,12.5982,105.568,-23.3483,-0.851282,1.06883,23.2169,-2.65E-10,147.502,-15.4466,8.17052,-12.4216,-61.672,17.4277,50.3603
45,0,29.5386,2.90E-10,-153.379,-12.1775,2.89243,29.0439,-76.5301,12.5112,105.883,-23.3585,-0.857612,1.07154,23.2549,-2.64E-10,147.403,-15.464,8.14214,-12.2216,-61.7827,17.4302,50.6684
46,0,29.5452,2.91E-10,-153.408,-12.1052,2.81471,29.116,-76.8054,12.4234,106.22,-23.3654,-0.850606,1.0741,23.2932,-2.63E-10,147.303,-15.4794,8.11064,-12.0169,-61.8994,17.4294,50.9866
47,0,29.5508,2.91E-10,-153.456,-12.0338,2.73699,29.2045,-77.0854,12.3366,106.579,-23.3697,-0.831058,1.07622,23.329,-2.63E-10,147.206,-15.4917,8.07573,-11.8122,-62.0217,17.4244,51.3098
48,0,29.5552,2.91E-10,-153.52,-11.9652,2.6599,29.3074,-77.3694,12.2531,106.956,-23.3715,-0.800234,1.07775,23.36,-2.62E-10,147.115,-15.5008,8.03742,-11.6111,-62.1495,17.4152,51.6341
49,0,29.5573,2.92E-10,-153.603,-11.9013,2.58463,29.4239,-77.6532,12.1747,107.347,-23.3713,-0.760696,1.07867,23.3842,-2.61E-10,147.033,-15.5073,7.996,-11.4163,-62.2829,17.4023,51.9571
50,0,29.5561,2.93E-10,-153.705,-11.8434,2.51265,29.5535,-77.9312,12.1033,107.745,-23.3691,-0.714933,1.07904,23.4001,-2.61E-10,146.963,-15.5124,7.95196,-11.2301,-62.4221,17.3871,52.2769
51,0,29.5502,2.94E-10,-153.828,-11.7927,2.44574,29.6965,-78.1955,12.0401,108.145,-23.3653,-0.666335,1.07908,23.4068,-2.60E-10,146.905,-15.5176,7.90603,-11.0542,-62.5676,17.3713,52.5922
52,0,29.5382,2.95E-10,-153.973,-11.7499,2.38572,29.8532,-78.4374,11.9863,108.536,-23.3601,-0.61774,1.07901,23.4038,-2.60E-10,146.862,-15.5246,7.859,-10.8904,-62.7192,17.3568,52.9018
53,0,29.5192,2.96E-10,-154.14,-11.7152,2.33425,30.0234,-78.6484,11.9423,108.911,-23.354,-0.571702,1.07908,23.3909,-2.60E-10,146.834,-15.535,7.81167,-10.7403,-62.8768,17.3451,53.2038
54,0,29.4924,2.98E-10,-154.328,-11.6885,2.29269,30.2064,-78.8212,11.9082,109.262,-23.3474,-0.530772,1.07948,23.3683,-2.60E-10,146.823,-15.5496,7.76488,-10.6055,-63.0393,17.3377,53.4955
55,0,29.4577,2.99E-10,-154.532,-11.6693,2.26192,30.4005,-78.9502,11.8835,109.582,-23.3412,-0.496596,1.08036,23.3362,-2.60E-10,146.827,-15.569,7.71935,-10.4881,-63.2049,17.3351,53.7737
56,0,29.4154,3.01E-10,-154.747,-11.657,2.24235,30.6028,-79.0324,11.8678,109.864,-23.336,-0.470583,1.08178,23.2955,-2.60E-10,146.847,-15.5931,7.67573,-10.3896,-63.3715,17.3377,54.0344
57,0,29.3667,3.03E-10,-154.967,-11.6506,2.23394,30.8096,-79.0668,11.8599,110.104,-23.333,-0.453925,1.08379,23.247,-2.60E-10,146.882,-15.6211,7.63453,-10.3119,-63.5363,17.3451,54.2732
58,0,29.3132,3.05E-10,-155.183,-11.6493,2.23622,31.0166,-79.0548,11.8591,110.3,-23.3332,-0.447061,1.08636,23.1918,-2.61E-10,146.931,-15.6519,7.59617,-10.2564,-63.6964,17.3562,54.4856
59,0,29.2568,3.07E-10,-155.388,-11.6522,2.24841,31.2188,-78.9991,11.8642,110.447,-23.3372,-0.45003,1.08947,23.1314,-2.61E-10,146.992,-15.6841,7.56095,-10.224,-63.8488,17.3702,54.6676
60,0,29.1999,3.08E-10,-155.573,-11.6586,2.26958,31.4112,-78.9039,11.8745,110.547,-23.3452,-0.462264,1.09302,23.0674,-2.62E-10,147.064,-15.7162,7.5291,-10.2155,-63.9904,17.3855,54.8155
61,0,29.145,3.10E-10,-155.733,-11.6676,2.29867,31.589,-78.7734,11.8888,110.597,-23.3574,-0.48233,1.09695,23.0014,-2.63E-10,147.146,-15.7465,7.50075,-10.2309,-64.1189,17.4009,54.9267
62,0,29.0942,3.11E-10,-155.864,-11.6785,2.33464,31.748,-78.6123,11.9064,110.599,-23.3729,-0.508374,1.1011,22.9351,-2.64E-10,147.235,-15.7738,7.47598,-10.2696,-64.2319,17.415,54.9993
63,0,29.0496,3.12E-10,-155.963,-11.6905,2.37641,31.885,-78.4252,11.9263,110.553,-23.3906,-0.537843,1.1054,22.8699,-2.64E-10,147.331,-15.7967,7.4548,-10.3305,-64.3278,17.4268,55.033
64,0,29.0127,3.13E-10,-156.031,-11.703,2.42293,31.9975,-78.2167,11.9477,110.463,-23.4091,-0.567856,1.10958,22.807,-2.65E-10,147.431,-15.8143,7.43717,-10.4116,-64.4056,17.4353,55.0284
65,0,28.9843,3.13E-10,-156.069,-11.715,2.47316,32.0842,-77.991,11.9697,110.329,-23.4271,-0.595688,1.11345,22.7472,-2.66E-10,147.534,-15.8259,7.42299,-10.5102,-64.4646,17.4399,54.9876
66,0,28.9649,3.13E-10,-156.08,-11.726,2.52594,32.1448,-77.7531,11.9913,110.157,-23.4432,-0.618767,1.11674,22.6909,-2.67E-10,147.639,-15.8311,7.41211,-10.6229,-64.5048,17.4401,54.9139
67,0,28.9543,3.13E-10,-156.066,-11.7352,2.58018,32.1794,-77.5073,12.0117,109.952,-23.4564,-0.635023,1.1192,22.6382,-2.68E-10,147.744,-15.8298,7.40432,-10.7459,-64.5267,17.4357,54.8116
68,0,28.9519,3.13E-10,-156.031,-11.7423,2.63468,32.1891,-77.259,12.0302,109.719,-23.4661,-0.643248,1.12062,22.589,-2.69E-10,147.848,-15.8223,7.3994,-10.875,-64.5314,17.4269,54.686
69,0,28.9569,3.12E-10,-155.978,-11.7468,2.68832,32.175,-77.0127,12.0463,109.464,-23.472,-0.643292,1.12085,22.543,-2.70E-10,147.95,-15.8091,7.3971,-11.0059,-64.5202,17.414,54.5427
70,0,28.9689,3.12E-10,-155.909,-11.749,2.74008,32.1386,-76.7732,12.0599,109.194,-23.4743,-0.6355,1.11989,22.4997,-2.71E-10,148.049,-15.7908,7.39718,-11.1346,-64.4948,17.3975,54.3875
71,0,28.987,3.11E-10,-155.824,-11.7488,2.78909,32.0814,-76.5446,12.0708,108.913,-23.4732,-0.621119,1.11782,22.4592,-2.71E-10,148.144,-15.7685,7.39944,-11.2573,-64.4573,17.3783,54.2261
72,0,29.0107,3.10E-10,-155.726,-11.7466,2.83477,32.0052,-76.3298,12.0792,108.627,-23.4691,-0.602179,1.1149,22.4213,-2.72E-10,148.234,-15.7435,7.4037,-11.3712,-64.4098,17.3575,54.0636
73,0,29.0397,3.09E-10,-155.614,-11.7431,2.87672,31.9114,-76.1309,12.0855,108.338,-23.4626,-0.580548,1.11151,22.3865,-2.73E-10,148.319,-15.7172,7.40983,-11.4742,-64.3548,17.3364,53.9047
74,0,29.0737,3.08E-10,-155.49,-11.7386,2.91484,31.8017,-75.949,12.0901,108.05,-23.4535,-0.55854,1.10803,22.3555,-2.74E-10,148.399,-15.6914,7.41768,-11.5653,-64.295,17.3164,53.7532
75,0,29.1125,3.07E-10,-155.354,-11.7335,2.94926,31.6778,-75.7837,12.0935,107.765,-23.4422,-0.537937,1.10493,22.3289,-2.74E-10,148.471,-15.6677,7.42712,-11.6443,-64.233,17.299,53.6119
76,0,29.1558,3.06E-10,-155.208,-11.7283,2.98021,31.5414,-75.6343,12.0959,107.482,-23.4287,-0.520572,1.10263,22.3075,-2.75E-10,148.536,-15.6475,7.43793,-11.7123,-64.1719,17.2854,53.483
77,0,29.2031,3.04E-10,-155.055,-11.723,3.00803,31.3939,-75.4993,12.0975,107.202,-23.4129,-0.507432,1.10139,22.2918,-2.75E-10,148.595,-15.6324,7.44981,-11.771,-64.1143,17.2767,53.3674
78,0,29.254,3.03E-10,-154.895,-11.7174,3.0331,31.237,-75.3769,12.0983,106.925,-23.395,-0.499497,1.10145,22.282,-2.76E-10,148.646,-15.6231,7.46231,-11.8229,-64.0631,17.2737,53.2654
79,0,29.3078,3.01E-10,-154.734,-11.7113,3.05574,31.0722,-75.265,12.098,106.651,-23.3753,-0.496872,1.10275,22.2777,-2.76E-10,148.692,-15.6202,7.47491,-11.8711,-64.0205,17.2763,53.1762
80,0,29.3639,3.00E-10,-154.571,-11.7042,3.07612,30.9007,-75.1624,12.0962,106.378,-23.3543,-0.499371,1.10521,22.278,-2.76E-10,148.733,-15.6235,7.48694,-11.9184,-63.9885,17.2844,53.0987
81,0,29.4217,2.99E-10,-154.41,-11.6957,3.09427,30.7237,-75.0684,12.0926,106.109,-23.3326,-0.506442,1.1085,22.2813,-2.77E-10,148.772,-15.6327,7.49769,-11.9677,-63.9686,17.2972,53.0316
82,0,29.4808,2.97E-10,-154.251,-11.6855,3.11002,30.542,-74.9833,12.0867,105.844,-23.311,-0.517055,1.11227,22.2859,-2.77E-10,148.811,-15.6468,7.5064,-12.0215,-63.962,17.3136,52.9734
